Video ID,Start,Duration,Text
O36lgfQ7mDk,0.06,3.989,all right The Witcher yes I've seen the
O36lgfQ7mDk,1.77,4.109,requests and stuff takes time right so
O36lgfQ7mDk,4.049,4.111,the Witcher is a series on Netflix that
O36lgfQ7mDk,5.879,4.201,is based off of The Witcher books which
O36lgfQ7mDk,8.16,3.96,the games are also based off of but as I
O36lgfQ7mDk,10.08,4.469,understand this series is based off of
O36lgfQ7mDk,12.12,4.47,the books not necessarily the game and
O36lgfQ7mDk,14.549,4.471,it's this medieval world with magic and
O36lgfQ7mDk,16.59,3.689,warring kingdoms basically hitting at
O36lgfQ7mDk,19.02,3.179,the time they're like I have people
O36lgfQ7mDk,20.279,3.541,totally need they need that Game of
O36lgfQ7mDk,22.199,2.941,Thrones fix and there's no game of
O36lgfQ7mDk,23.82,2.76,Thrones the fact they've needed a game
O36lgfQ7mDk,25.14,2.729,of Thrones fix since before Game of
O36lgfQ7mDk,26.58,2.73,Thrones actually hit and did it for
O36lgfQ7mDk,27.869,2.91,being honest so it's a good time for The
O36lgfQ7mDk,29.31,3.33,Witcher and the meat and bones like the
O36lgfQ7mDk,30.779,3.541,heart of the series for me it's the
O36lgfQ7mDk,32.64,4.2,character Jarrell's he's a Witcher which
O36lgfQ7mDk,34.32,5.04,I don't know much about witchers as I
O36lgfQ7mDk,36.84,4.77,understand their kind of magical mutant
O36lgfQ7mDk,39.36,4.109,people that people actually don't really
O36lgfQ7mDk,41.61,3.51,like and there's not a lot of them
O36lgfQ7mDk,43.469,4.41,anymore I say from what I understand
O36lgfQ7mDk,45.12,6.419,because all right hold on I don't know I
O36lgfQ7mDk,47.879,6.351,don't know if leather blocks pitchforks
O36lgfQ7mDk,51.539,4.921,I got a got to protect myself okay I
O36lgfQ7mDk,54.23,3.669,can't believe I'm gonna say this I think
O36lgfQ7mDk,56.46,2.55,I've said it in other videos but this is
O36lgfQ7mDk,57.899,2.791,what your BAE
O36lgfQ7mDk,59.01,3.24,I haven't played The Witcher games put
O36lgfQ7mDk,60.69,3.06,the keyboard down typing hateful
O36lgfQ7mDk,62.25,3.72,comments I'll make you go blind so I
O36lgfQ7mDk,63.75,3.479,heard okay those lives oh yeah so I
O36lgfQ7mDk,65.97,3.27,haven't played The Witcher game so as
O36lgfQ7mDk,67.229,4.471,I'm watching The Witcher series I'm just
O36lgfQ7mDk,69.24,4.559,coming at it as a person who hey I like
O36lgfQ7mDk,71.7,3.57,a good series so let's watch The Witcher
O36lgfQ7mDk,73.799,3.21,don't know much about the lore I know of
O36lgfQ7mDk,75.27,3.15,Geralt and I know of yennefer because we
O36lgfQ7mDk,77.009,2.761,all know a few nifer so the main
O36lgfQ7mDk,78.42,3.18,character Geralt he has a really
O36lgfQ7mDk,79.77,2.97,interesting story but you don't see a
O36lgfQ7mDk,81.6,3.0,lot of his story it's just what you've
O36lgfQ7mDk,82.74,3.66,heard about I hope to see more of his
O36lgfQ7mDk,84.6,3.42,backstory as a series goes on before
O36lgfQ7mDk,86.4,3.539,right now is just a lot of intrigue with
O36lgfQ7mDk,88.02,4.139,him but man henry cavill bring some
O36lgfQ7mDk,89.939,4.11,charisma to that character at first I
O36lgfQ7mDk,92.159,4.831,was like it's that's a voice you're
O36lgfQ7mDk,94.049,4.32,doing he talks like this all the time I
O36lgfQ7mDk,96.99,3.18,don't know if it's because I know Henry
O36lgfQ7mDk,98.369,3.091,Cavill voice but at first I couldn't get
O36lgfQ7mDk,100.17,2.97,it out of my head that's like he's just
O36lgfQ7mDk,101.46,3.42,doing a voice right at any character who
O36lgfQ7mDk,103.14,3.33,sounds different than the actor they're
O36lgfQ7mDk,104.88,3.0,doing a voice but sometimes it just it
O36lgfQ7mDk,106.47,2.939,doesn't sound weird at first you just
O36lgfQ7mDk,107.88,3.449,kind of roll with it from the get-go
O36lgfQ7mDk,109.409,3.511,this one took me a couple episodes wait
O36lgfQ7mDk,111.329,3.051,a minute I'm he delivered one of these
O36lgfQ7mDk,112.92,4.019,moments mm-hmm
O36lgfQ7mDk,114.38,4.33,[ __ ] that was probably before that but
O36lgfQ7mDk,116.939,2.701,that's definitely that's a marker those
O36lgfQ7mDk,118.71,3.24,momma's your point you're like look
O36lgfQ7mDk,119.64,4.56,that's why he's epic it's actually this
O36lgfQ7mDk,121.95,4.41,series if I'm being honest took me an
O36lgfQ7mDk,124.2,3.51,episode or two to actually get into the
O36lgfQ7mDk,126.36,3.209,first episode I was like alright well
O36lgfQ7mDk,127.71,3.329,that episode happened but I heard the
O36lgfQ7mDk,129.569,3.841,show's good so I'll keep watching but at
O36lgfQ7mDk,131.039,2.881,a point just a charm of the whole series
O36lgfQ7mDk,133.41,1.98,in the end
O36lgfQ7mDk,133.92,2.94,trigger the characters it hooked me and
O36lgfQ7mDk,135.39,4.23,that's what does hook in fact the
O36lgfQ7mDk,136.86,4.86,character I loved most is definitely
O36lgfQ7mDk,139.62,4.08,yennefer no offense Henry you're still a
O36lgfQ7mDk,141.72,3.9,snack we all know that which I guess
O36lgfQ7mDk,143.7,3.24,also he's a big video game nerd and he's
O36lgfQ7mDk,145.62,2.82,a fan of The Witcher and that's why he
O36lgfQ7mDk,146.94,3.87,took the role that's amazing but
O36lgfQ7mDk,148.44,4.799,yennefer yennefer was great and heard
O36lgfQ7mDk,150.81,3.84,her tragedy is really the heart of the
O36lgfQ7mDk,153.239,2.731,show for me I guess there was a bit of
O36lgfQ7mDk,154.65,3.059,controversy surrounding yennefer
O36lgfQ7mDk,155.97,3.63,storyline I guess controversy might be a
O36lgfQ7mDk,157.709,3.331,strong term some people there were some
O36lgfQ7mDk,159.6,3.06,tweets I don't see that perspective
O36lgfQ7mDk,161.04,3.69,because I don't feel like this show was
O36lgfQ7mDk,162.66,4.56,ever saying yes she made the right call
O36lgfQ7mDk,164.73,4.259,she's perfectly happy yep she did it and
O36lgfQ7mDk,167.22,3.45,she's living her perfect life but she's
O36lgfQ7mDk,168.989,3.631,not she's actually quite miserable it's
O36lgfQ7mDk,170.67,3.539,a great cautionary tale about how beauty
O36lgfQ7mDk,172.62,3.149,and powers they're not everything
O36lgfQ7mDk,174.209,3.09,they're not going to bring you happiness
O36lgfQ7mDk,175.769,5.101,the more I think about it the more it's
O36lgfQ7mDk,177.299,5.94,just such a great lesson on looking
O36lgfQ7mDk,180.87,4.5,deeper into the person and the facade
O36lgfQ7mDk,183.239,3.481,people have or maybe not judging people
O36lgfQ7mDk,185.37,3.0,on how they look or the things they have
O36lgfQ7mDk,186.72,3.69,around them like you look at yennefer
O36lgfQ7mDk,188.37,3.69,and you'd be like she's gorgeous she's
O36lgfQ7mDk,190.41,3.299,powerful there's no way she's not the
O36lgfQ7mDk,192.06,3.3,happiest person ever and I feel like
O36lgfQ7mDk,193.709,3.541,that's a very applicable lesson to our
O36lgfQ7mDk,195.36,4.56,world so many times it's easy to see
O36lgfQ7mDk,197.25,4.59,someone whether it be online or an actor
O36lgfQ7mDk,199.92,4.86,or someone on Twitter and influencer an
O36lgfQ7mDk,201.84,4.14,Instagram model a youtuber whoever it's
O36lgfQ7mDk,204.78,3.15,easy to look at them and be like they
O36lgfQ7mDk,205.98,4.02,have the happiest life ever there's no
O36lgfQ7mDk,207.93,4.17,way if I had that life I would be the
O36lgfQ7mDk,210.0,3.84,happiest person alive but you don't
O36lgfQ7mDk,212.1,3.6,really know what you see if a person you
O36lgfQ7mDk,213.84,4.14,see because it's what that person has
O36lgfQ7mDk,215.7,4.53,chosen to show in a lot of cases with
O36lgfQ7mDk,217.98,3.66,most people famous or otherwise people
O36lgfQ7mDk,220.23,2.94,don't generally choose to show their
O36lgfQ7mDk,221.64,3.0,pain in the case of yennefer felt that
O36lgfQ7mDk,223.17,2.49,was really well executed but i felt she
O36lgfQ7mDk,224.64,2.099,made the show to be honest with you
O36lgfQ7mDk,225.66,5.419,she's my favorite and there's the
O36lgfQ7mDk,226.739,7.051,princess whose name is princess ciri
O36lgfQ7mDk,231.079,4.901,like the apple AI look at me honest with
O36lgfQ7mDk,233.79,5.64,you I thought she was good in the show
O36lgfQ7mDk,235.98,5.37,but her storyline always kind of made me
O36lgfQ7mDk,239.43,4.74,feel like I wasn't with the party right
O36lgfQ7mDk,241.35,4.949,now like imagine The Witcher is a party
O36lgfQ7mDk,244.17,3.24,and geralt and yennefer in there man
O36lgfQ7mDk,246.299,2.851,they're in the heart of it they're
O36lgfQ7mDk,247.41,4.59,dancing on the bars the music's going
O36lgfQ7mDk,249.15,5.22,and everyone's having a good time and
O36lgfQ7mDk,252.0,3.42,then you go outside for a break you know
O36lgfQ7mDk,254.37,1.95,maybe a drink of water maybe it's
O36lgfQ7mDk,255.42,2.999,getting too hot in there and you're
O36lgfQ7mDk,256.32,3.75,never away from the energy of the party
O36lgfQ7mDk,258.419,3.391,you're always in its orbit but you're no
O36lgfQ7mDk,260.07,2.82,longer in the heart of it the music's
O36lgfQ7mDk,261.81,3.25,still going but it's a little more
O36lgfQ7mDk,262.89,7.39,muffled alright
O36lgfQ7mDk,265.06,6.329,we'll go back in now the story says what
O36lgfQ7mDk,270.28,3.27,it felt like I felt like every time I
O36lgfQ7mDk,271.389,4.381,was with this character I wasn't with
O36lgfQ7mDk,273.55,3.96,the party of The Witcher she's an
O36lgfQ7mDk,275.77,3.899,important character she needs to find
O36lgfQ7mDk,277.51,3.93,Geralt and that's her arc is her just
O36lgfQ7mDk,279.669,3.361,looking for him still of the three
O36lgfQ7mDk,281.44,3.18,characters my least favorite of the arcs
O36lgfQ7mDk,283.03,3.3,I will say that about the stitching of
O36lgfQ7mDk,284.62,3.45,the show - it took me a little bit at
O36lgfQ7mDk,286.33,4.77,first I was like something seems off it
O36lgfQ7mDk,288.07,4.8,seems very jumpy and not connected then
O36lgfQ7mDk,291.1,3.3,it kind of dawned on me how they were
O36lgfQ7mDk,292.87,3.06,doing it where they were going and I was
O36lgfQ7mDk,294.4,3.0,okay and then it clicked I was fine
O36lgfQ7mDk,295.93,3.12,until then though it felt less than
O36lgfQ7mDk,297.4,3.51,smooth also some of the CGI there are a
O36lgfQ7mDk,299.05,3.03,couple of CGI monster scenes or animal
O36lgfQ7mDk,300.91,3.09,scenes wherever you want to call them
O36lgfQ7mDk,302.08,3.75,mythological creature scenes where
O36lgfQ7mDk,304.0,3.18,you're like that's a CGI monster all
O36lgfQ7mDk,305.83,2.55,right look I don't know if the show cost
O36lgfQ7mDk,307.18,3.18,but I felt like the CGI and the
O36lgfQ7mDk,308.38,4.92,mandalorian was much better than again
O36lgfQ7mDk,310.36,5.7,you have the the biggest most powerful
O36lgfQ7mDk,313.3,4.38,studio behind that show so I get it I
O36lgfQ7mDk,316.06,4.5,will say it could have done passage of
O36lgfQ7mDk,317.68,4.5,time better sometimes a lot of time
O36lgfQ7mDk,320.56,4.14,passes and at one point I was like okay
O36lgfQ7mDk,322.18,3.78,someone needs to say something and to
O36lgfQ7mDk,324.7,2.64,their credit they did there was a
O36lgfQ7mDk,325.96,3.09,throwaway line the person's like I
O36lgfQ7mDk,327.34,3.0,haven't seen you in this many years I
O36lgfQ7mDk,329.05,2.67,was like okay it's been that long but
O36lgfQ7mDk,330.34,2.55,even some other times especially with
O36lgfQ7mDk,331.72,2.58,yennefer she goes and talks to this
O36lgfQ7mDk,332.89,2.37,person who goes and talks to that person
O36lgfQ7mDk,334.3,3.57,I'm like I don't think those two
O36lgfQ7mDk,335.26,4.92,locations are near each other are so did
O36lgfQ7mDk,337.87,4.049,weeks passed months passed days did she
O36lgfQ7mDk,340.18,3.48,[ __ ] teleport I didn't really know a
O36lgfQ7mDk,341.919,3.511,show didn't tell me it's a passage of
O36lgfQ7mDk,343.66,3.18,time it's one of the show's flaws but in
O36lgfQ7mDk,345.43,3.239,the end I had a really great time with
O36lgfQ7mDk,346.84,4.29,The Witcher they did such a good job at
O36lgfQ7mDk,348.669,4.291,portraying likable and charismatic yet
O36lgfQ7mDk,351.13,4.11,flawed characters on screen I mean it's
O36lgfQ7mDk,352.96,4.59,not as though The Witcher Season 1 is
O36lgfQ7mDk,355.24,4.049,some Game of Thrones replacement for
O36lgfQ7mDk,357.55,3.54,Game of Thrones when it was at its peak
O36lgfQ7mDk,359.289,3.841,I mean keep those expectations in check
O36lgfQ7mDk,361.09,3.81,but in its own right it's a really
O36lgfQ7mDk,363.13,3.63,entertaining fantasy epic with really
O36lgfQ7mDk,364.9,4.35,charismatic characters and actors who
O36lgfQ7mDk,366.76,4.29,make themselves make it so like I can't
O36lgfQ7mDk,369.25,3.72,say that without saying it that way the
O36lgfQ7mDk,371.05,3.81,enjoyment I had with the witch are
O36lgfQ7mDk,372.97,2.91,vastly outweighed the flaws I'd like to
O36lgfQ7mDk,374.86,2.76,see where they go with it that's the
O36lgfQ7mDk,375.88,3.39,rule you know leave the audience wanting
O36lgfQ7mDk,377.62,4.169,more and by the end I was like I
O36lgfQ7mDk,379.27,4.05,definitely am salivating for more witch
O36lgfQ7mDk,381.789,2.791,all right so The Witcher on Netflix have
O36lgfQ7mDk,383.32,2.73,you seen it what did you think about it
O36lgfQ7mDk,384.58,2.94,have you played the games did you like
O36lgfQ7mDk,386.05,2.82,it have you not played the games did you
O36lgfQ7mDk,387.52,2.31,still like it how did it compare to the
O36lgfQ7mDk,388.87,2.28,games you know what I'm trying to ask
O36lgfQ7mDk,389.83,2.64,whatever you think comment below let me
O36lgfQ7mDk,391.15,2.28,know and as always if you like what
O36lgfQ7mDk,392.47,3.53,you've seen here and you want to see
O36lgfQ7mDk,393.43,4.63,more click right here to see more
O36lgfQ7mDk,396.0,2.06,you
CcpmD5J8xOk,0.03,4.74,well guys I just finished watching
CcpmD5J8xOk,2.129,3.9,season 1 of The Witcher Netflix show and
CcpmD5J8xOk,4.77,2.79,I thought it'd be good just to share my
CcpmD5J8xOk,6.029,3.001,thoughts and opinion on the show as a
CcpmD5J8xOk,7.56,3.18,whole as I know a lot of people want to
CcpmD5J8xOk,9.03,4.47,hear exactly what I think now I've
CcpmD5J8xOk,10.74,4.769,finished the full series but before I
CcpmD5J8xOk,13.5,3.63,get into a full review I just want to
CcpmD5J8xOk,15.509,3.511,say something for those of you that
CcpmD5J8xOk,17.13,3.75,might not agree with me I might even be
CcpmD5J8xOk,19.02,4.169,angry with me over my opinion I
CcpmD5J8xOk,20.88,4.53,understand what it's like when you
CcpmD5J8xOk,23.189,3.901,really like something and someone else
CcpmD5J8xOk,25.41,3.84,points out the flaws that they see in it
CcpmD5J8xOk,27.09,4.32,sometimes you can feel as if because you
CcpmD5J8xOk,29.25,3.899,like it there simply nitpicking and
CcpmD5J8xOk,31.41,3.57,trying to find anything that they can
CcpmD5J8xOk,33.149,3.331,that's wrong with the thing you like you
CcpmD5J8xOk,34.98,3.419,might feel like they are purposely
CcpmD5J8xOk,36.48,3.75,ignoring any good in it and that by them
CcpmD5J8xOk,38.399,4.021,disliking the show they're trying to
CcpmD5J8xOk,40.23,3.81,influence your opinion influence other
CcpmD5J8xOk,42.42,3.659,people's opinions oh maybe they're
CcpmD5J8xOk,44.04,4.019,trying to attack you for your opinion
CcpmD5J8xOk,46.079,4.441,and tell you your love for that thing is
CcpmD5J8xOk,48.059,5.041,wrong I just want to say that that's not
CcpmD5J8xOk,50.52,5.46,something I have any interest in doing I
CcpmD5J8xOk,53.1,4.979,absolutely hate being the guy that ruins
CcpmD5J8xOk,55.98,3.719,others fun out of spite because I
CcpmD5J8xOk,58.079,3.931,believe people shouldn't like the things
CcpmD5J8xOk,59.699,3.721,I don't like if you love the show I
CcpmD5J8xOk,62.01,3.87,think it represents the winner in a
CcpmD5J8xOk,63.42,4.62,truthful and accurate way or hell even
CcpmD5J8xOk,65.88,4.41,if you just enjoyed watching it I have
CcpmD5J8xOk,68.04,3.93,nothing but respect for you people are
CcpmD5J8xOk,70.29,4.41,gonna say that what I'm doing right now
CcpmD5J8xOk,71.97,4.8,is damage control but honestly guys I
CcpmD5J8xOk,74.7,4.23,just wanted to say this as I really do
CcpmD5J8xOk,76.77,4.11,empathize and I know it sucks when
CcpmD5J8xOk,78.93,3.72,someone dislikes the thing you like and
CcpmD5J8xOk,80.88,3.84,then shares their opinion it just can
CcpmD5J8xOk,82.65,4.44,make you feel a bit bad sometimes so I
CcpmD5J8xOk,84.72,4.079,do empathize completely but anyway and
CcpmD5J8xOk,87.09,3.779,now I've addressed that I just want to
CcpmD5J8xOk,88.799,3.721,say if you love the show or don't want
CcpmD5J8xOk,90.869,3.691,to hear a word against it and know if
CcpmD5J8xOk,92.52,3.9,you do is just gonna upset you or annoy
CcpmD5J8xOk,94.56,3.93,you I'd click off now because I'm gonna
CcpmD5J8xOk,96.42,3.659,be very truthful about my opinion as I
CcpmD5J8xOk,98.49,4.29,feel like that's the best way to just do
CcpmD5J8xOk,100.079,4.711,this review right to begin I'm just
CcpmD5J8xOk,102.78,4.199,gonna be blunt I'm not a fan of the show
CcpmD5J8xOk,104.79,4.71,now before you go crazy I don't think
CcpmD5J8xOk,106.979,4.021,this is actually a bad show I think it
CcpmD5J8xOk,109.5,3.75,has everything in it the mix of a
CcpmD5J8xOk,111.0,4.68,fantasy TV show and I can totally see
CcpmD5J8xOk,113.25,4.649,why so many people seem to like it I
CcpmD5J8xOk,115.68,3.84,think my issues with the show come from
CcpmD5J8xOk,117.899,3.601,me having read the books and not only
CcpmD5J8xOk,119.52,3.51,that but having lived and breathed The
CcpmD5J8xOk,121.5,4.17,Witcher for the past two years of my
CcpmD5J8xOk,123.03,4.439,life I've been a fan for a long time but
CcpmD5J8xOk,125.67,4.199,these past two years this channel has
CcpmD5J8xOk,127.469,3.871,literally been my job and every week
CcpmD5J8xOk,129.869,3.781,I've made a video on the lore of this
CcpmD5J8xOk,131.34,3.69,world requiring me to go back over
CcpmD5J8xOk,133.65,3.539,which are books as well as just general
CcpmD5J8xOk,135.03,3.959,Witcher information I've also played the
CcpmD5J8xOk,137.189,3.66,games every week for the past two years
CcpmD5J8xOk,138.989,3.541,through doing the playthrough and just
CcpmD5J8xOk,140.849,4.411,through having to record gameplay for
CcpmD5J8xOk,142.53,4.739,the videos so yeah I spend a lot of my
CcpmD5J8xOk,145.26,4.5,time thinking about and being involved
CcpmD5J8xOk,147.269,4.47,in this universe what this means is
CcpmD5J8xOk,149.76,4.14,everything they change or do differently
CcpmD5J8xOk,151.739,4.381,in the show is something I'm acutely
CcpmD5J8xOk,153.9,3.899,aware of and find it very difficult to
CcpmD5J8xOk,156.12,4.289,just ignore and they have made some
CcpmD5J8xOk,157.799,4.651,major changes from the books but before
CcpmD5J8xOk,160.409,3.45,I discuss the major changes I'd like to
CcpmD5J8xOk,162.45,2.879,talk about what I thought was well done
CcpmD5J8xOk,163.859,4.171,in the show as I want to give credit
CcpmD5J8xOk,165.329,4.681,where credit is due to begin that I like
CcpmD5J8xOk,168.03,3.69,the scenes with Geraldton dandelion or
CcpmD5J8xOk,170.01,3.809,yeah skier as he's known in the show in
CcpmD5J8xOk,171.72,3.84,the original polish books I think they
CcpmD5J8xOk,173.819,3.75,played off each other pretty well and I
CcpmD5J8xOk,175.56,4.079,think their relationship as it was at
CcpmD5J8xOk,177.569,3.181,that point in the books was presented
CcpmD5J8xOk,179.639,3.27,pretty accurately
CcpmD5J8xOk,180.75,3.689,I mean dandelion on the whole was just
CcpmD5J8xOk,182.909,3.061,pretty entertaining whenever he was on
CcpmD5J8xOk,184.439,2.94,screen that whenever a scene with him
CcpmD5J8xOk,185.97,3.389,came up and it was just gonna be a bit
CcpmD5J8xOk,187.379,3.661,of fun I think Henry Cavill did a pretty
CcpmD5J8xOk,189.359,4.02,good job as Geralt I thought he was
CcpmD5J8xOk,191.04,4.259,alright didn't think he was perfect
CcpmD5J8xOk,193.379,3.961,but I mainly put that down to the facts
CcpmD5J8xOk,195.299,4.44,I have an idea of what Geralt is like
CcpmD5J8xOk,197.34,3.84,how he looks at cetera and by the way my
CcpmD5J8xOk,199.739,3.691,view of Geralt in the books is not
CcpmD5J8xOk,201.18,3.809,identical to the games and just in
CcpmD5J8xOk,203.43,3.6,general it would be very hard for an
CcpmD5J8xOk,204.989,4.231,actor to achieve what I think of as
CcpmD5J8xOk,207.03,4.169,Geralt in my mind I'm always up for
CcpmD5J8xOk,209.22,3.57,fresh interpretations but I feel like it
CcpmD5J8xOk,211.199,3.0,was fairly similar to the Geralt we know
CcpmD5J8xOk,212.79,4.559,but it just didn't quite hit the mark
CcpmD5J8xOk,214.199,6.061,for me however I do think has an actor
CcpmD5J8xOk,217.349,5.73,he played Geralt and when I saw him it
CcpmD5J8xOk,220.26,4.469,didn't feel weird I thought yeah I can
CcpmD5J8xOk,223.079,3.87,see Geralt which I didn't have with all
CcpmD5J8xOk,224.729,4.32,the cast I liked most of the Geralt
CcpmD5J8xOk,226.949,3.93,fight scenes pretty much every fight
CcpmD5J8xOk,229.049,3.69,scene involving Geralt was good so
CcpmD5J8xOk,230.879,3.42,obviously we have their entry fight but
CcpmD5J8xOk,232.739,2.97,we also have the Striga fights and the
CcpmD5J8xOk,234.299,3.481,fights in episode eights they do
CcpmD5J8xOk,235.709,3.661,certainly show a witch's skill in combat
CcpmD5J8xOk,237.78,4.26,which is always just cool to see on
CcpmD5J8xOk,239.37,4.859,screen I liked the actress playing ciri
CcpmD5J8xOk,242.04,3.27,although I do think she is a bit old and
CcpmD5J8xOk,244.229,3.211,it makes the father-daughter
CcpmD5J8xOk,245.31,4.019,relationship with Geralt feel not quite
CcpmD5J8xOk,247.44,3.93,as intimate to give you an idea she's
CcpmD5J8xOk,249.329,3.9,about as old now as ciri was at the end
CcpmD5J8xOk,251.37,4.5,of the books and were only at the start
CcpmD5J8xOk,253.229,4.68,but I do think she played ciri well and
CcpmD5J8xOk,255.87,4.38,I liked how our veteran her shed some
CcpmD5J8xOk,257.909,4.021,visual similarities now I'm gonna move
CcpmD5J8xOk,260.25,3.719,on to the things they changed and
CcpmD5J8xOk,261.93,4.38,personally I just wasn't really a big
CcpmD5J8xOk,263.969,4.681,fan of so for the first one pretty
CcpmD5J8xOk,266.31,4.41,everything with yennefer Paha scenes
CcpmD5J8xOk,268.65,4.35,involving Geralt was invented for the
CcpmD5J8xOk,270.72,3.75,show based on comments made by yennefer
CcpmD5J8xOk,273.0,3.75,and other characters throughout the
CcpmD5J8xOk,274.47,5.1,books and even then a lot was simply
CcpmD5J8xOk,276.75,4.919,made up I'm talking everything guys all
CcpmD5J8xOk,279.57,4.14,the scenes in our teaser simply don't
CcpmD5J8xOk,281.669,3.811,happen at least we were never shown them
CcpmD5J8xOk,283.71,3.78,happening the Battle of sodden at the
CcpmD5J8xOk,285.48,4.35,end was never shown just talked about
CcpmD5J8xOk,287.49,4.98,and just everything involving yennefer
CcpmD5J8xOk,289.83,4.32,by herself without girl was invented by
CcpmD5J8xOk,292.47,3.449,the show or all the scenes were
CcpmD5J8xOk,294.15,3.48,embellished massively from offhand
CcpmD5J8xOk,295.919,3.451,comments made throughout the book as
CcpmD5J8xOk,297.63,3.539,Jennifer's a bit more mysterious in the
CcpmD5J8xOk,299.37,3.36,books and it's less like okay here's
CcpmD5J8xOk,301.169,3.181,everything about yennefer from start to
CcpmD5J8xOk,302.73,3.689,finish a lot of the things about her
CcpmD5J8xOk,304.35,3.42,implied she's a bit more mysterious and
CcpmD5J8xOk,306.419,2.941,personally I think that makes her seem a
CcpmD5J8xOk,307.77,3.27,lot more strong as it doesn't really
CcpmD5J8xOk,309.36,3.57,matter where she came from all that
CcpmD5J8xOk,311.04,3.51,matters is what she's like now it's
